3.1,169
3.6,172
3.6,174
3.6,176
3.6,176
3.1,176
3.1,178
2.6,180
2.6,180
2.6,182
3.1,182
3.1,181
2.6,186
2.6,188
2.6,189
2.6,190
3.1,188
3.1,188
3.1,187
3.1,188
3.6,187
3.1,188
3.1,191
3.1,188
3.1,184
3.1,183
3.6,185
3.1,187
3.1,186
3.1,185
3.1,184
4.1,183
4.1,182
3.6,183
3.1,183
3.6,182
3.1,183
3.1,183
3.1,181
3.1,179
3.1,178
3.1,178
3.1,178
3.1,180
3.6,182
3.6,182
3.6,181
4.1,181
3.6,180
3.6,179
3.6,181
3.1,181
3.1,184
3.1,187
2.6,191
2.6,194
2.6,195
3.1,196
3.6,192
3.6,186
4.1,185
4.1,187
4.1,186
4.1,183
4.6,180
4.6,178
5.1,179
5.1,180
5.1,175
5.1,172
5.1,175
5.1,175
5.1,175
4.6,176
4.1,176
4.1,175
4.1,176
4.6,176
5.1,172
5.1,172
5.1,172
5.1,172
5.1,178
5.1,180
4.6,179
4.6,178
4.6,176
4.6,175
4.6,175
4.6,175
4.6,173
4.6,173
4.1,174
4.1,173
4.6,177
5.1,179
5.1,178
4.6,178
4.6,178
5.1,178
5.1,178
5.1,179
5.1,178
4.6,179
4.6,180
5.1,181
5.1,182
4.6,178
4.6,174
5.1,174
5.7,174
5.7,177
5.1,180
5.1,179
5.7,179
5.7,178
5.7,176
6.2,176
6.2,178
6.2,179
6.7,180
6.2,178
5.1,180
5.7,183
5.7,183
5.7,186
6.2,187
6.2,187
6.2,187
6.2,186
6.2,186
5.7,188
5.7,190
5.7,191
6.7,190
6.7,192
5.7,194
5.7,193
5.1,194
5.7,195
6.7,192
6.2,188
6.2,190
6.2,191
6.7,189
7.2,190
6.7,190
6.7,192
6.7,194
6.2,194
5.7,195
5.7,194
6.2,191
6.2,194
5.7,195
5.7,196
6.2,198
6.7,198
6.7,196
6.7,193
6.7,190
6.2,191
6.2,194
6.2,195
6.7,197
6.7,198
5.7,195
5.1,196
5.7,196
5.7,195
5.7,196
5.7,196
5.1,195
5.1,197
5.7,196
6.2,195
6.2,199
6.2,201
6.2,201
5.7,201
6.2,199
5.7,197
5.1,196
5.1,197
5.1,199
5.7,199
5.7,199
5.1,199
5.1,199
5.1,200
5.1,199
5.7,200
5.7,200
5.7,201
5.7,201
5.7,200
5.7,203
6.2,207
